Num‚ro porc;T0-T1;GR auto : 5-8(10,6/æL);HGB(g/L)(100-160);HCT(%)(32-50);MCV(fL) (VGM)(50-68);MCH(pg) (TCMH)(17-21);MCHC(%) (CCMH)(30-34);RDW-SD(fL);RDW-CV(%);RET#(K/uL);RET%(%)(0-1);IRF(%);PLT auto : 325-715(10,3/æl);GB : 11-22(10,3/æl);GNN auto : 3,1-10,5;Lymphocytes auto : 4,3-13;Monocytes auto : 0,2-2,2;GNE auto:0-2,4 ;GNB auto : 0-0,3
P078;T1;6;112;38,7;61,3;17,7;28,9;50,3;26,8;86;1;15;913;20,99;7,69;11,55;1,39;0,33;0,03
P079;T1;7;116;39,8;59,2;17,3;29,1;47,3;26,6;55;1;31;656;21,91;8,71;11,37;1,78;0,04;0,01
P080;T1;6;108;35,7;57,3;17,3;30,3;45,1;26,3;165;3;11;768;23,9;8,92;13;1,47;0,5;0,01
P081;T1;6;106;35,7;58,8;17,5;29,7;51,3;29;94;2;16;617;23,46;7,35;13,28;2,67;0,14;0,02
P082;T1;6;110;38,5;59,5;17;28,6;45,9;26;113;2;15;655;26,14;10,61;13,39;1,99;0,14;0,01
P083;T1;5;100;33,8;62,7;18,6;29,6;40,5;21,8;253;5;12;671;22,86;10,49;10,79;1,34;0,22;0,02
P084;T1;6;115;40,5;63;17,9;28,4;46,5;25,2;85;1;29;751;25,75;10,05;14,14;1,24;0,31;0,01
P085;T1;5;77;25,6;46,9;14,1;30,1;----;39,8;12;0;73;908;17,88;10,08;6,28;1,45;0,06;0,01
P086;T1;7;97;32,4;49,8;14,9;29,9;----;35,1;50;1;17;858;19,78;9,57;8,6;1,43;0,16;0,02
P087;T1;6;101;33,9;53,6;16;29,8;57,2;34,4;10;0;51;257;15,96;7,72;7,23;0,9;0,09;0,02
P088;T1;6;93;31,7;48,8;14,3;29,3;----;39,2;11;0;93;605;15,55;7,51;7,26;0,68;0,08;0,02
P089;T1;7;105;34,4;52,4;16;30,5;50,3;31,9;39;1;26;779;19,52;9,69;8,9;0,81;0,1;0,02
P090;T1;7;105;35;53,8;16,2;30;50,8;30,4;24;0;48;807;17,21;6,82;9,68;0,44;0,24;0,03
P091;T1;7;124;41,4;59,7;17,9;30;47,2;26,5;213;3;5;510;24,94;6,1;17,67;1;0,16;0,01
P092;T1;6;131;43,6;65,9;19,8;30;44,7;22,4;294;4;4;608;23,99;7,74;14,75;1,26;0,23;0,01
P093;T1;6;97;32,5;56,6;16,9;29,8;----;37,5;116;2;6;997;15,72;3,46;11,5;0,59;0,15;0,02
P094;T1;7;109;35,9;53,6;16,3;30,4;48,7;29,1;306;5;5;565;32,08;13,65;15,88;2,14;0,4;0,01
P095;T1;8;100;33,9;49,9;14,7;29,5;42,1;28,9;135;2;7;200;21,43;4,05;16,47;0,79;0,11;0,01
P096;T1;7;114;38,6;57,1;16,9;29,5;40,9;24,9;231;3;4;159;23,97;8,35;14,05;1,3;0,25;0,02
P097;T1;7;105;34;53,7;16,6;30,9;57,1;34;30;0;24;324;27,9;9,8;16,29;1,61;0,18;0,02
P098;T1;6;109;36,6;58;17,3;29,8;51,8;29,9;90;1;6;514;25,88;7,68;16,83;1,07;0,28;0,02
P099;T1;6;129;43,1;58,6;17,5;29,9;42,5;24,8;120;2;7;617;28,91;10,28;17,18;1,35;0,1;0
P100;T1;7;111;35,8;55,1;17,1;31;60;34;135;2;4;595;26,96;6,73;18,73;1,36;0,13;0,01
P101;T1;7;124;41;60,8;18,4;30,2;41;22,9;217;3;4;732;25,69;9,79;14,55;1,14;0,18;0,03
P103;T1;6;122;39,3;57,9;18;31;37;21,9;189;3;96;588;21;8,96;10,77;1;0,26;0,01
P104;T1;6;125;42,4;66,5;19,6;29,5;45,9;23,3;230;4;95;659;19,18;6,71;11,28;0,91;0,26;0,02
P105;T1;6;118;38,6;58,8;18;30,6;43,4;25;81;1;87;644;21,64;7,87;12,87;0,71;0,17;0,02
P106;T1;6;106;35,4;59,1;17,7;29,9;44,7;25,8;173;3;98;625;19,41;5,62;12,74;0,98;0,07;0
P107;T1;6;116;39,9;55,9;16,2;29,1;41,9;25,5;233;3;97;424;21,96;5,65;14,73;1,41;0,15;0,02
P108;T1;6;118;38,8;61,1;18,6;30,4;40,8;22,3;203;3;92;485;14,71;5,07;8,93;0,62;0,07;0,02
P109;T1;7;118;41,1;58,6;16,8;28,7;45,1;26,2;41;1;26;271;20,72;7,95;11,78;0,87;0,11;0,01
P110;T1;8;127;44;55,8;16,1;28,9;46,6;29;63;1;20;587;15,17;6,81;7,56;0,62;0,17;0,01
P111;T1;7;108;36,8;53,3;15,7;29,3;----;36,9;95;1;16;616;19,1;3,54;14,19;1,11;0,26;0
P112;T1;6;91;32,8;52,8;14,7;27,7;----;40,3;47;1;19;506;14,68;2,55;10,83;1,16;0,13;0,01
P113;T1;8;143;49,5;61;17,6;28,9;53,2;29,6;116;1;9;839;11,15;3,19;7,09;0,79;0,07;0,01
P114;T1;9;145;50,3;58,9;17;28,8;47,4;28,5;106;1;8;631;13,35;6,09;6,77;0,43;0,06;0
